Zip,Potomac,Arlington,Hunt,Glen,Lat,Long,ID
20882,19.19358246,36.44910336,46.2121118,134.9422745,39.239633,-77.161043,0
20886,11.13499944,28.38119975,51.30115451,126.8743709,39.173374,-77.223178,0
20895,8.020679285,19.98645407,55.39910771,118.4790038,39.027048,-77.07759,0
20901,11.38230579,23.34808058,45.64293437,121.8406303,39.021495,-77.009779,0
20902,7.608087788,24.14654455,47.81401071,122.6397157,39.043755,-77.042369,0
20903,13.2737644,25.23953919,48.99896852,123.7320889,39.021433,-76.980774,0
20904,14.92785863,26.89363341,42.32853219,125.3861832,39.066616,-76.980935,0
20905,20.47298893,29.97253533,41.91966893,128.4650851,39.109866,-76.988077,0
20906,17.3717176,25.99699256,47.20195857,124.4901637,39.087321,-77.057159,0
20910,10.0351697,22.00094449,52.45939329,120.4934942,39.00286,-77.036646,0
20912,14.20644488,26.17221967,51.29307666,113.8541265,38.981601,-77.001159,0
21013,65.41812171,77.38327513,10.87091603,173.675544,39.51149,-76.4908,2
21240,39.4770527,41.70964495,30.92323561,144.8879665,39.174291,-76.671566,2
21250,35.9992295,47.96500429,23.87562603,146.457554,39.255611,-76.711179,2
21201,42.22724844,54.19240185,18.00427504,151.3371941,39.294823,-76.622224,2
21202,42.74795879,54.71311221,17.67743298,151.8032237,39.296526,-76.607016,2
21203,41.95632992,53.92148334,17.99743994,152.4146545,39.30229,-76.564484,2
21205,46.64707271,58.61222613,22.52911131,155.2990667,39.30229,-76.564484,2
21206,49.18165211,61.14680552,18.16396784,157.8336461,39.338428,-76.538877,2
21209,52.57186176,64.53763655,12.50823319,163.0301863,39.373191,-76.670003,2
21210,49.33078156,61.29593498,13.0003604,159.7891061,39.359156,-76.632685,2
21211,46.15183864,58.11761343,14.99372414,156.6101632,39.329817,-76.639408,2
21212,50.71520002,62.68035344,11.98690146,156.1267352,39.368561,-76.614898,2
21213,47.98613096,59.95128438,22.80935042,156.6381249,39.315031,-76.577429,2
21214,50.39146482,62.35661824,16.77022879,159.0434588,39.351793,-76.5644,2
21215,49.08533933,61.05049275,14.70167895,159.5436639,39.345241,-76.683566,2
21216,40.83164527,52.79679869,18.13476332,151.2899698,39.310595,-76.671717,2
21217,43.20963873,55.17479215,16.95726198,151.7025613,39.308473,-76.639154,2
21218,45.67773124,57.64288466,14.42951769,154.1700324,39.330107,-76.601451,2
21223,39.97725776,51.94241117,18.49702362,149.9254353,39.282951,-76.653877,2
21224,45.32230604,57.28745946,24.16145749,154.4446792,39.27486,-76.542833,2
21229,40.83972312,52.80487653,22.84601141,148.6404365,39.284239,-76.691403,2
21230,41.34800601,53.31315943,28.72481887,150.4703792,39.266127,-76.623807,2
21231,42.99588651,54.9616613,18.99722868,153.454211,39.2872,-76.591953,2
21239,52.23445636,64.19960978,14.49600457,160.8864503,39.367099,-76.589171,2
21251,50.58657586,62.55172928,16.97093218,159.2385698,39.344707,-76.581242,2
23059,118.2198914,110.1439099,171.9419141,7.206681,37.702252,-77.573995,3
23060,115.4783949,107.4030348,169.2004176,5.465594592,37.659706,-77.533888,3
23061,171.6473834,163.5720233,191.2970535,72.59124859,37.427731,-76.537584,3
23062,176.0846061,168.0086247,229.8066288,77.0284713,37.262931,-76.507489,3
23063,141.8935713,133.8182112,195.615594,26.10449004,37.712553,-78.00613,3
23065,139.3273019,131.2519418,193.0493246,23.53884201,37.805959,-77.932428,3
23068,179.4064648,171.3311047,194.7456721,80.35032995,37.500686,-76.335139,3
23069,107.8970261,99.82104465,161.6190488,26.17408379,37.771537,-77.322377,3
23070,156.9904433,148.9150832,187.2842283,78.621671,37.552303,-76.389007,3
23071,154.641033,146.5656729,184.934818,76.27226068,37.545377,-76.448792,3
23072,180.8157381,172.740378,234.5383822,81.76022469,37.290444,-76.44779,3
23075,122.9914126,114.9154312,176.7134353,23.93527782,37.558215,-77.316877,3
23076,182.3412082,174.2658481,197.6804156,83.28507338,37.478376,-76.300342,3
23079,137.6781786,129.6021972,167.9719637,66.43468751,37.716884,-76.67474,3
23083,161.054221,152.9788609,214.7768651,49.97079548,37.308039,-78.117329,3
23084,117.0280985,108.952117,170.7501212,36.15208719,37.884931,-78.115047,3
23085,135.8327016,127.7567201,189.5547243,53.62260305,37.688954,-76.825645,3
23086,126.829632,118.7536506,180.5516547,39.09925808,37.668573,-77.054414,3
23089,145.3533747,137.2780146,199.0760187,46.29786124,37.455795,-76.903501,3
23091,140.4519865,132.3766264,194.1740092,63.1302273,37.656264,-76.802492,3
